,Name,RAM,ROM,Extended_memory,Battery,Processor,Price
592,OPPO A3s,2,16,256,4230,Qualcomm Snapdragon 450 Processor,11500
593,OPPO A3s,2,16,256,4230,Qualcomm Snapdragon 450 Processor,11500
594,SAMSUNG Galaxy J6,4,64,256,3000,Exynos 7870 Processor,14990
595,SAMSUNG Galaxy J7 - 6,2,16,128,3300,Exynos 7870 Octa Core 16GHz Processor,15299
596,Tecno Camon i 2,3,32,128,3750,MT6761 Processor,11999
597,SAMSUNG Galaxy A20,3,32,512,4000,Exynos 7884B Processor,12900
598,Honor 7X,4,64,0,3340,Kirin 659 Processor,15500
599,SAMSUNG Galaxy J6,3,32,256,3000,Exynos 7870 Processor,12990
600,Nokia 6.1,4,64,128,3000,Qualcomm Snapdragon 630 Processor,18300
601,OPPO F9 Pro,6,64,256,3500,Mediatek Helio P60 Octacore 20 GHz Processor,21150
602,SAMSUNG Galaxy J6,4,64,256,3000,Exynos 7870 Processor,14990
603,ViVO Y91,2,32,256,4030,Helio P22 MTK6762R Processor,11990
604,ViVO Y91,2,32,256,4030,Helio P22 MTK6762R Processor,11990
605,SAMSUNG Galaxy J4,2,16,256,3000,Exynos 7570 Processor,10903
606,Nokia 6.1,3,32,128,3000,Qualcomm Snapdragon 630 Processor,14927
607,OPPO A83,4,64,0,3180,MT6763T Processor,15000
608,ViVO Y91,3,32,256,4030,Qualcomm Snapdragon 439 Processor,10500
609,SAMSUNG Galaxy J5 Prime,2,16,256,2400,Exynos 7570 Quad Core 14GHz Processor,14500
610,Nokia 5,3,16,128,3000,Qualcomm Snapdragon 430 64bit Octa Core 14 GHz Processor,12499
611,SAMSUNG Galaxy A30,4,64,512,4000,Exynos 7904 Processor,18000
612,SAMSUNG Galaxy J6,3,32,256,3000,Exynos 7870 Processor,12990
613,SAMSUNG Galaxy J4,2,16,256,3000,Exynos 7570 Processor,10903
614,ViVO Y91,3,32,256,4030,Qualcomm Snapdragon 439 Processor,11184
615,ViVO Y12,3,64,256,5000,MediaTek Helio P22 Processor,10990
616,SAMSUNG Galaxy J4,3,32,256,3000,Exynos 7570 Processor,10990
617,SAMSUNG Galaxy J5 Prime,2,16,256,2400,Exynos 7570 Quad Core 14GHz Processor,14500
618,SAMSUNG Galaxy J6,3,32,256,3000,Exynos 7870 Processor,12990
619,SAMSUNG Galaxy J7 Duo,4,32,256,3000,Exynos 7884 Processor,17889
620,SAMSUNG Galaxy J4,3,32,256,3000,Exynos 7570 Processor,10990
621,SAMSUNG Galaxy A20,3,32,512,4000,Exynos 7884B Processor,11490
622,SAMSUNG Galaxy J7 Nxt,3,32,256,3000,Exynos Octa Core 16 GHz Processor,14995
623,ViVO V9 Youth,4,32,256,3260,Qualcomm Snapdragon 450 Processor,17999
624,SAMSUNG Galaxy J7 Nxt,2,16,256,3000,Exynos OctaCore 16GHz Processor,11995
625,OPPO A83,4,64,0,3180,MT6763T Processor,19000
626,OPPO A83,4,64,0,3180,MT6763T Processor,13990
627,SAMSUNG Galaxy J7 Duo,4,32,256,3000,Exynos 7884 Processor,17962
628,OPPO A37f,2,16,128,2630,Qualcomm Snapdragon 410 Quad Core 12GHz Processor,10000
629,Tecno Camon 15 Pro,6,128,256,4000,Helio P35 MT6765 Processor,15999
630,Tecno Camon 15 Pro,6,128,256,4000,Helio P35 MT6765 Processor,16990
631,OPPO F3,4,64,128,3200,Mediatek MT6750T Octa Core 15GHz Processor,18000
632,OPPO F3,4,64,128,3200,Mediatek MT6750T Octa Core 15GHz Processor,23500
633,ViVO Y15,4,64,256,5000,MediaTek Helio P22 Processor,12900
634,OPPO F9 Pro,6,64,256,3500,Mediatek Helio P60 Octacore 20 GHz Processor,21150
635,Tecno Spark Power,4,64,256,6000,Mediatek Helio Processor,10000
636,SAMSUNG Galaxy J2 Pro,2,16,0,2600,Spreadtrum QuadCore 15GHz Processor,10480
637,Tecno Spark Power,4,64,256,6000,Mediatek Helio Processor,11999
638,OPPO A3s,4,64,256,4230,Qualcomm Snapdragon 450 Processor,15000
639,SAMSUNG Galaxy J2 Pro,2,16,128,2600,Spreadtrum QuadCore 15GHz Processor,10480
640,ViVO Y71,4,32,256,3360,Qualcomm Snapdragon 425 Processor,12000
641,ViVO Y71,3,16,256,3360,Qualcomm Snapdragon 425 Processor,10900
642,ViVO Y12,4,32,256,5000,MediaTek Helio P22 Processor,14990
643,ViVO Y12,4,32,256,5000,MediaTek Helio P22 Processor,14990
644,ViVO Y12,3,64,256,5000,MediaTek Helio P22 Processor,13863
645,OPPO A83,2,16,256,3180,MT6763T Processor,11000
646,SAMSUNG Galaxy J8,4,64,256,3500,Qualcomm Snapdragon SDM450 Processor,19500
647,ViVO Y83 Pro,4,64,256,3260,Mediatek Helio P22 Processor,14500
648,OPPO A71,3,16,256,3000,Mediatek MT6750 Octa Core 15 GHz Processor,12500
649,SAMSUNG Galaxy A72,8,256,1,5000,Qualcomm Snapdragon 720G Processor,37990
650,SAMSUNG Galaxy A30,4,64,512,4000,Exynos 7904 Processor,18000
651,OPPO A37f,2,16,128,2630,Qualcomm Snapdragon 410 Quad Core 12GHz Processor,12000
652,SAMSUNG Galaxy J7 - 6,2,16,128,3300,Exynos 7870 Octa Core 16GHz Processor,13800
653,ViVO Y53,2,16,256,2500,Qualcomm Snapdragon 425 64bit Quad Core 14GHz Processor,11190
654,ViVO Y53,2,16,256,2500,Qualcomm Snapdragon 425 64bit Quad Core 14GHz Processor,10995
655,SAMSUNG Galaxy J7 Nxt,2,16,256,3000,Exynos OctaCore 16 GHz Processor,10995
656,SAMSUNG Galaxy J6 Plus,4,64,512,3300,Qualcomm Snapdragon SD425 Processor,13600
657,SAMSUNG Galaxy J6 Plus,4,64,512,3300,Qualcomm Snapdragon SD425 Processor,14000
658,SAMSUNG Galaxy A72,8,128,1,5000,Qualcomm Snapdragon 720G Processor,36990
659,Infinix Hot 10,6,128,256,5200,MediaTek Helio G70 Processor,10999
660,Infinix Hot 10,6,128,256,5200,MediaTek Helio G70 Processor,10999
661,OPPO A12,4,64,256,4230,MediaTek Helio P35 Processor,10440
662,Infinix Hot 10,6,128,256,5200,MediaTek Helio G70 Processor,10999
663,realme Narzo 20,4,128,256,6000,MediaTek Helio G85 Processor,10999
664,realme Narzo 20,4,128,256,6000,MediaTek Helio G85 Processor,10999
665,OPPO A12,4,64,256,4230,MediaTek Helio P35 Processor,11900
666,OPPO A53,6,128,256,5000,Qualcomm Snapdragon 460 Processor,12990
667,realme 7i,4,64,256,5000,Qualcomm Snapdragon 662 Processor,11999
668,POCO M2,6,128,512,5000,MediaTek Helio G80 Processor,11499
669,Infinix Hot 10S,6,64,256,6000,MediaTek Helio G85 Processor,10999
670,realme 7i,4,64,256,5000,Qualcomm Snapdragon 662 Processor,11999
671,realme 7i,4,128,256,5000,Qualcomm Snapdragon 662 Processor,14999
672,REDMI Note 9,4,64,512,5020,MediaTek Helio G85 Processor,11900
673,realme 7 Pro,6,128,256,4500,Qualcomm Snapdragon 720G Processor,15999
674,POCO M2,6,64,512,5000,MediaTek Helio G80 Processor,10499
675,POCO M2,6,128,512,5000,MediaTek Helio G80 Processor,11499
676,REDMI Note 9,4,128,512,5020,MediaTek Helio G85 Processor,13380
